BM;2026-09-11;02:48;;1.25
PM;2026-09-11;08:14;103.58082649352461;13.31
BM;2026-09-11;15:04;;1.34
PM;2026-09-11;20:31;105.97900381098025;13.74
BM;2026-09-12;03:24;;1.03
PM;2026-09-12;08:51;107.32447760395883;13.63
BM;2026-09-12;15:38;;1.22
PM;2026-09-12;21:08;107.6390412444664;13.87
BM;2026-09-13;03:56;;1.16
PM;2026-09-13;09:26;106.2910126875374;13.61
BM;2026-09-13;16:09;;1.43
PM;2026-09-13;21:42;104.69308330995223;13.65
BM;2026-09-14;04:24;;1.57
PM;2026-09-14;09:59;101.21802863748857;13.29
BM;2026-09-14;16:36;;1.88
PM;2026-09-14;22:14;98.04136062416904;13.14
BM;2026-09-15;04:50;;2.17
PM;2026-09-15;10:30;93.17643317761768;12.73
BM;2026-09-15;17:01;;2.48
PM;2026-09-15;22:45;88.78408159527683;12.41
