2024-09-11;04:01;;4.07
2024-09-11;09:49;39;8.37
2024-09-11;16:30;;4.39
2024-09-11;22:16;33;7.95
2024-09-12;04:49;;4.68
2024-09-12;10:47;29;7.79
2024-09-12;17:43;;4.86
2024-09-12;23:48;28;7.45
2024-09-13;06:24;;5.08
2024-09-13;12:55;31;7.59
2024-09-13;19:44;;4.73
2024-09-14;02:04;37;7.73
2024-09-14;08:29;;4.68
2024-09-14;14:43;45;8.24
2024-09-14;21:15;;3.90
2024-09-15;03:23;54;8.62
2024-09-15;09:48;;3.74
2024-09-15;15:49;64;9.22
2024-09-15;22:19;;2.86
2024-09-16;04:21;74;9.62
2024-09-16;10:46;;2.72
2024-09-16;16:43;83;10.21
2024-09-16;23:13;;1.91
2024-09-17;05:13;91;10.51
2024-09-17;11:38;;1.84
2024-09-17;17:32;99;11.05
2024-09-18;00:04;;1.17
2024-09-18;06:00;105;11.18
2024-09-18;12:26;;1.19
2024-09-18;18:19;110;11.64
2024-09-19;00:51;;0.70
2024-09-19;06:44;113;11.59
2024-09-19;13:11;;0.82
2024-09-19;19:03;115;11.93
2024-09-20;01:34;;0.55
2024-09-20;07:26;114;11.69
2024-09-20;13:53;;0.77
2024-09-20;19:44;112;11.87
